单据编号:,GIO18021115420007,,区域门店/网点:,总部,,入库日期:,2018-02-11,,入库类型:,素金入库,,仓库:,总部仓库,,,
,,,,,,,,,,,,,,,,
入库方式:,采购入库,,制单员:,解海涛,,审核人:,解海涛,,审核日期:,2018-02-11,,,,,,
,,,,,,,,,,,,,,,,
金重合计:,0.00,,件数合计:,2,,成本合计（元）:,77.56,,标价合计（元）:,598.00,,,,,,
,,,,,,,,,,,,,,,,
备注:,海门 2018021100039 加税10%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
物品列表,,,,,,,,,,,,,,,,
序号,关联品类,货品条形码,货品名称,公司款号,工厂款号,证书编号,备注,金重量,金单价,实际成本,标签价,金石,工费,指圈,货重,监管码
1,套链,1802110293,银925玻璃套链,TL1238,TL1238,,配石:合成立方氧化锆,0.00,0.00,38.78,299.00,S925银,0.00,,0,
2,套链,1802110294,银925玻璃套链,TL1238,TL1238,,配石:合成立方氧化锆,0.00,0.00,38.78,299.00,S925银,0.00,,0,
